port_name,port_id,port_lat,port_lon,port_iso3,continent,betweenness_centrality,k_core,hub_score,authority_score,pagerank_score,import_cluster,export_cluster,import_cluster_rolebased,export_cluster_rolebased
Stockton_U.S.A.,port1229,37.947969027429416,-121.31088285154942,USA,NOAM,0.0002737729574314071,118,0.0005011644713138378,0.0009780791087166342,0.0007596219141110147,3,0,1,0
Stora Jatterson_Sweden,port1230,57.09271571263146,16.54645435151159,SWE,EURO,3.162324480451754e-05,101,0.0003991826846897477,0.0004658600578906278,0.0005792473256685469,4,3,5,4
Stura_Norway,port1231,60.593557079243176,4.865804810410851,NOR,EURO,0.0001276662394501857,86,0.0004387780495790306,0.0004470132648178688,0.000448754858130829,4,3,5,4
Subio Bay_Philippines,port1232,14.80314980936827,120.29135738632458,PHL,ASIA,0.00018168496323867347,117,0.0007981373667813648,0.00074862674748064,0.0005661661989647593,3,0,1,0
Sundaomen Wuz_China,port1233,38.05634359388503,118.03934781655926,CHN,ASIA,7.050780060409904e-08,37,0.00025532040177734497,0.00025562066444921567,0.00024373140308780192,3,0,1,0
Sunderland_United Kingdom,port1234,54.910399336324254,-1.361674386024465,GBR,EURO,7.097338162938468e-05,105,0.0006360902851038359,0.0005017127428469923,0.0005529813170360256,4,3,5,4
Sundsvall_Sweden,port1235,62.39638002811131,17.374829899065812,SWE,EURO,2.7613802644814723e-05,95,0.000394316237935811,0.0003695311239272694,0.0004552456085399571,4,3,5,4
Superior_U.S.A.,port1236,46.71928734720906,-92.09100100792196,USA,NOAM,0.0011898384394000987,80,0.00036226715926878544,0.0003165871473963495,0.0006725683816727056,1,4,2,2
Surabaya_Indonesia,port1237,-7.200873408963196,112.72166747072802,IDN,ASIA,0.002898111970516653,119,0.001670394130468152,0.0011289030821539348,0.0011421072102146188,3,0,1,0
Surigao City_Philippines,port1238,9.815652286506916,125.45455589237538,PHL,ASIA,6.766556872032802e-07,11,4.6507603979098946e-05,3.28102543572169e-05,0.00013629491429430047,3,0,1,0
Susaki Ko_Japan,port1239,33.39265719291515,133.29157669064938,JPN,ASIA,0.00017002723413752824,114,0.0008092451497542783,0.0009101828710721884,0.0007358507740066145,3,0,1,0
Suva Harbor_Fiji,port1240,-18.1169314382394,178.4249762864597,FJI,AUST,0.00043664649322766694,51,0.0002297816888884682,0.0002530507964602147,0.0005621296058163759,3,0,1,0
Swanport_U.S.A.,port1241,61.08345855738029,-146.38360337450882,USA,NOAM,4.70247397831772e-06,24,0.00012956656225146106,0.00011243746378845907,0.00021793091794393936,3,0,1,0
Swinoujscie_Poland,port1242,53.902991207573166,14.275254267285554,POL,EURO,0.00043063985260738576,112,0.0007869877922827957,0.0008749869601368395,0.0008894711471769236,4,3,5,4
