port_name,country,continent,area,silo_name,silo_id,silo_lon,silo_lat
Uwajima Ko,Japan,Asia,32497.177671748886,Uwajima Ko_Silo_3,silo_723,132.55038668291516,33.22078645983933
Matsuyama,Japan,Asia,17319.26938500323,Matsuyama_Silo_1,silo_724,132.6947783553148,33.78365075157811
Matsuyama,Japan,Asia,36530.57456166324,Matsuyama_Silo_2,silo_725,132.69587936825909,33.81228476562531
Imabari Ko,Japan,Asia,11702.290078440481,Imabari Ko_Silo_1,silo_726,133.01802905120357,34.06340350182917
Niihama,Japan,Asia,77278.05266136723,Niihama_Silo_1,silo_727,133.17008306245634,33.93089798179755
Komatsushima,Japan,Asia,73505.42640285305,Komatsushima_Silo_1,silo_728,134.61131107123876,33.98932832418765
Komatsushima,Japan,Asia,17434.570155613397,Komatsushima_Silo_2,silo_729,134.58470573800395,34.052642285811956
Komatsushima,Japan,Asia,204059.33108320844,Komatsushima_Silo_3,silo_730,134.60734227462717,34.142585416465124
Takamatsu,Japan,Asia,16276.429579340609,Takamatsu_Silo_1,silo_731,134.06356634085904,34.35576731054776
Sakaide Ko,Japan,Asia,22490.363455260645,Sakaide Ko_Silo_1,silo_732,133.8770241411185,34.34251831738268
Sakaide Ko,Japan,Asia,17202.40878279869,Sakaide Ko_Silo_2,silo_733,133.87976810386775,34.3418011563493
Sakaide Ko,Japan,Asia,32471.89041086242,Sakaide Ko_Silo_3,silo_734,133.86330000195184,34.33225204763231
Sakaide Ko,Japan,Asia,18969.44193617333,Sakaide Ko_Silo_4,silo_735,133.8579048373767,34.32975752772643
Sakaide Ko,Japan,Asia,77680.90657875156,Sakaide Ko_Silo_5,silo_736,133.85397529657487,34.32664729450937
Sakaide Ko,Japan,Asia,84735.32111284109,Sakaide Ko_Silo_6,silo_737,133.8496246806345,34.32766826867846
Sakaide Ko,Japan,Asia,45730.81642710817,Sakaide Ko_Silo_7,silo_738,133.84702806084115,34.32752083602504
Marugame Ko,Japan,Asia,36374.03751633166,Marugame Ko_Silo_1,silo_739,133.79297389961602,34.29934167957503
Takuma,Japan,Asia,15988.092736298608,Takuma_Silo_1,silo_740,133.67677654591316,34.232361608824526
